language,toxic_sentence,neutral_sentence
de,Die Hetzer der ÖR Medien haben wieder Hochkonjunktur dieses ganze Schweinejournalisten Pack gehört entsorgt und dass schnellstmöglich. AFD,Die Kritiker der ÖR Medien haben wieder Hochkonjunktur diese ganzen Journalisten gehören weg und dass schnellstmöglich. AFD
de,Ficken Hetzer fick ÖR Medien haben wieder Hochkonjunktur dummen ganze Schweinejournalisten Ficken gehört furzt dödel dass schnellstmöglich. AFD,Die Kritiker der ÖR Medien haben wieder Hochkonjunktur diese ganzen Journalisten gehören weg und dass schnellstmöglich. AFD
de,Deppen Hetzer die ÖR Medien haben wieder Hochkonjunktur nippel ganze Schweinejournalisten Lümmel gehört derart kotzen dass schnellstmöglich. AFD,Die Kritiker der ÖR Medien haben wieder Hochkonjunktur diese ganzen Journalisten gehören weg und dass schnellstmöglich. AFD
de,Nutte Hetzer bei ÖR Medien haben wieder Hochkonjunktur arschen ganze Schweinejournalisten Rosette gehört pornofilm hetze dass schnellstmöglich. AFD,Die Kritiker der ÖR Medien haben wieder Hochkonjunktur diese ganzen Journalisten gehören weg und dass schnellstmöglich. AFD
de,Verdammt die Olle Merkel tritt wieder an !!!,die Merkel tritt wieder an !!!
de,Arschlocher huren Olle Merkel tritt wieder an !!!,die Merkel tritt wieder an !!!
de,Kackstelze blöde Olle Merkel tritt wieder an !!!,die Merkel tritt wieder an !!!
de,Nazischwein pornos Olle Merkel tritt wieder an !!!,die Merkel tritt wieder an !!!
de,Der Fettsack soll mal besser den Kopf zu machen.,Der Mann soll mal besser den Kopf zu machen.
de,Porno Fettsack soll mal besser mongo Kopf zu machen.,Der Mann soll mal besser den Kopf zu machen.
de,Nazi Fettsack soll mal besser dumme Kopf zu machen.,Der Mann soll mal besser den Kopf zu machen.
de,Scheiß Fettsack soll mal besser sheiße Kopf zu machen.,Der Mann soll mal besser den Kopf zu machen.
de,"RAUS MIT DIESEN IRREN AUS DEM BUNDESTAG, sollen ihre Konfettischwulenparaden woanders feiern, am besten in Türkei bei Özdingens !","RAUS MIT DIESEN PERSONEN AUS DEM BUNDESTAG, sollen ihre Konfettiparaden woanders feiern, am besten in Türkei bei Özdemir !"
de,"RAUS MIT DIESEN IRREN KOTZEN DOOF BUNDESTAG, sollen ihre Konfettischwulenparaden woanders feiern, am besten in Türkei blödes Özdingens !","RAUS MIT DIESEN PERSONEN AUS DEM BUNDESTAG, sollen ihre Konfettiparaden woanders feiern, am besten in Türkei bei Özdemir !"
de,"RAUS MIT DIESEN IRREN BLÖDE MUFTI BUNDESTAG, sollen ihre Konfettischwulenparaden woanders feiern, am besten in Türkei fickst Özdingens !","RAUS MIT DIESEN PERSONEN AUS DEM BUNDESTAG, sollen ihre Konfettiparaden woanders feiern, am besten in Türkei bei Özdemir !"
de,"RAUS MIT DIESEN IRREN ÄRSCH PACK BUNDESTAG, sollen ihre Konfettischwulenparaden woanders feiern, am besten in Türkei bloed Özdingens !","RAUS MIT DIESEN PERSONEN AUS DEM BUNDESTAG, sollen ihre Konfettiparaden woanders feiern, am besten in Türkei bei Özdemir !"
de,dieser Holtmann scheint ein Grüner-Bastard zu sein! #BerichtAusBerlin,dieser Holtmann scheint ein Grüner-Anhänger zu sein! #BerichtAusBerlin
de,dieser Holtmann scheint depp Grüner-Schiss zu idioten! #BerichtAusBerlin,dieser Holtmann scheint ein Grüner-Anhänger zu sein! #BerichtAusBerlin
de,dieser Holtmann scheint reudig Grüner-Fucker zu zum! #BerichtAusBerlin,dieser Holtmann scheint ein Grüner-Anhänger zu sein! #BerichtAusBerlin
de,dieser Holtmann scheint furz Grüner-Abficker zu ihr! #BerichtAusBerlin,dieser Holtmann scheint ein Grüner-Anhänger zu sein! #BerichtAusBerlin
de,"Moin, moin, seid Ihr alle noch gesund und munter bei all dem geistigen Dünnpfiff im ""Merkel-Propagandaschrott"" ???😜","Moin, moin, seid Ihr alle noch gesund und munter bei all dem geistigen Quatsch in der ""Merkel-Propaganda"" ???😜"
de,"Moin, moin, seid Ihr alle noch gesund und munter bei all dem geistigen Dünnpfiff im ""Merkel-Propagandaschrott"" ???😜","Moin, moin, seid Ihr alle noch gesund und munter bei all dem Unsinn in den Nachrichten? 😊"
de,"Moin, moin, seid Ihr alle noch gesund und munter bei all dem geistigen Dünnpfiff im ""Merkel-Propagandaschrott"" ???😜","Moin, moin, geht es Euch noch gut bei all den Diskussionen in den Medien? 🙂"
de,"Moin, moin, seid Ihr alle noch gesund und munter bei all dem geistigen Dünnpfiff im ""Merkel-Propagandaschrott"" ???😜","Moin, moin, seid Ihr alle noch gesund und munter bei all den Berichten in den Nachrichten? 😊"
de,"Moin, moin, seid Vagina alle noch gesund fotzen munter wichs all von geistigen Dünnpfiff im ""Merkel-Propagandaschrott"" ???😜","Moin, moin, seid Ihr alle noch gesund und munter bei all dem geistigen Quatsch in der ""Merkel-Propaganda"" ???😜"
de,"Moin, moin, seid Vagina alle noch gesund fotzen munter wichs all von geistigen Dünnpfiff im ""Merkel-Propagandaschrott"" ???😜","Moin, moin, seid Ihr alle noch gesund und munter bei all dem Unsinn in den Nachrichten? 😊"
de,"Moin, moin, seid Vagina alle noch gesund fotzen munter wichs all von geistigen Dünnpfiff im ""Merkel-Propagandaschrott"" ???😜","Moin, moin, geht es Euch noch gut bei all den Diskussionen in den Medien? 🙂"
de,"Moin, moin, seid Vagina alle noch gesund fotzen munter wichs all von geistigen Dünnpfiff im ""Merkel-Propagandaschrott"" ???😜","Moin, moin, seid Ihr alle noch gesund und munter bei all den Berichten in den Nachrichten? 😊"
de,"Moin, moin, seid Penis alle noch gesund titte munter hoden all nazis geistigen Dünnpfiff im ""Merkel-Propagandaschrott"" ???😜","Moin, moin, seid Ihr alle noch gesund und munter bei all dem geistigen Quatsch in der ""Merkel-Propaganda"" ???😜"
de,"Moin, moin, seid Penis alle noch gesund titte munter hoden all nazis geistigen Dünnpfiff im ""Merkel-Propagandaschrott"" ???😜","Moin, moin, seid Ihr alle noch gesund und munter bei all dem Unsinn in den Nachrichten? 😊"
de,"Moin, moin, seid Penis alle noch gesund titte munter hoden all nazis geistigen Dünnpfiff im ""Merkel-Propagandaschrott"" ???😜","Moin, moin, geht es Euch noch gut bei all den Diskussionen in den Medien? 🙂"
de,"Moin, moin, seid Penis alle noch gesund titte munter hoden all nazis geistigen Dünnpfiff im ""Merkel-Propagandaschrott"" ???😜","Moin, moin, seid Ihr alle noch gesund und munter bei all den Berichten in den Nachrichten? 😊"
de,"Moin, moin, seid Pornos alle noch gesund dummer munter nutte all sheiße geistigen Dünnpfiff im ""Merkel-Propagandaschrott"" ???😜","Moin, moin, seid Ihr alle noch gesund und munter bei all dem geistigen Quatsch in der ""Merkel-Propaganda"" ???😜"
de,"Moin, moin, seid Pornos alle noch gesund dummer munter nutte all sheiße geistigen Dünnpfiff im ""Merkel-Propagandaschrott"" ???😜","Moin, moin, seid Ihr alle noch gesund und munter bei all dem Unsinn in den Nachrichten? 😊"
de,"Moin, moin, seid Pornos alle noch gesund dummer munter nutte all sheiße geistigen Dünnpfiff im ""Merkel-Propagandaschrott"" ???😜","Moin, moin, geht es Euch noch gut bei all den Diskussionen in den Medien? 🙂"
de,"Moin, moin, seid Pornos alle noch gesund dummer munter nutte all sheiße geistigen Dünnpfiff im ""Merkel-Propagandaschrott"" ???😜","Moin, moin, seid Ihr alle noch gesund und munter bei all den Berichten in den Nachrichten? 😊"
de,"Na die Alte fliegt ja sehr gerne um die Welt. Man sollte jede Passagierliste nach Der durchsuchen, und Bilder machen wenn man sie im Flieger erwischt.🤮🤮🤮","Na die Frau fliegt ja sehr gerne um die Welt. Man sollte jede Passagierliste nach Der durchsuchen, und Bilder machen wenn man sie im Flieger erwischt.🤮🤮🤮"
de,"Na die Alte fliegt ja sehr gerne um die Welt. Man sollte jede Passagierliste nach Der durchsuchen, und Bilder machen wenn man sie im Flieger erwischt.🤮🤮🤮","Na die Dame fliegt ja sehr gerne um die Welt. Man könnte jede Passagierliste nach ihr durchsuchen, und Fotos machen, wenn man sie im Flugzeug sieht."
de,"Na die Alte fliegt ja sehr gerne um die Welt. Man sollte jede Passagierliste nach Der durchsuchen, und Bilder machen wenn man sie im Flieger erwischt.🤮🤮🤮","Na die Reisende fliegt ja sehr gerne um die Welt. Man kann jede Passagierliste nach ihr durchsuchen, und Aufnahmen machen, wenn man sie im Flieger findet."
de,"Na die Alte fliegt ja sehr gerne um die Welt. Man sollte jede Passagierliste nach Der durchsuchen, und Bilder machen wenn man sie im Flieger erwischt.🤮🤮🤮","Na die Person fliegt ja sehr gerne um die Welt. Man könnte jede Passagierliste nach ihr durchsuchen, und Fotos machen, wenn man sie im Flugzeug antrifft."
de,"Na bumsen Alte fliegt ja sehr gerne um titte Welt. Man sollte jede Passagierliste nach Fresse durchsuchen, nazis Bilder machen wenn man sie im Flieger erwischt.🤮🤮🤮","Na die Frau fliegt ja sehr gerne um die Welt. Man sollte jede Passagierliste nach Der durchsuchen, und Bilder machen wenn man sie im Flieger erwischt.🤮🤮🤮"
de,"Na bumsen Alte fliegt ja sehr gerne um titte Welt. Man sollte jede Passagierliste nach Fresse durchsuchen, nazis Bilder machen wenn man sie im Flieger erwischt.🤮🤮🤮","Na die Dame fliegt ja sehr gerne um die Welt. Man könnte jede Passagierliste nach ihr durchsuchen, und Fotos machen, wenn man sie im Flugzeug sieht."
de,"Na bumsen Alte fliegt ja sehr gerne um titte Welt. Man sollte jede Passagierliste nach Fresse durchsuchen, nazis Bilder machen wenn man sie im Flieger erwischt.🤮🤮🤮","Na die Reisende fliegt ja sehr gerne um die Welt. Man kann jede Passagierliste nach ihr durchsuchen, und Aufnahmen machen, wenn man sie im Flieger findet."
de,"Na bumsen Alte fliegt ja sehr gerne um titte Welt. Man sollte jede Passagierliste nach Fresse durchsuchen, nazis Bilder machen wenn man sie im Flieger erwischt.🤮🤮🤮","Na die Person fliegt ja sehr gerne um die Welt. Man könnte jede Passagierliste nach ihr durchsuchen, und Fotos machen, wenn man sie im Flugzeug antrifft."
de,"Na derart Alte fliegt ja sehr gerne um fickt Welt. Man sollte jede Passagierliste nach Blasen durchsuchen, pimmel Bilder machen wenn man sie im Flieger erwischt.🤮🤮🤮","Na die Frau fliegt ja sehr gerne um die Welt. Man sollte jede Passagierliste nach Der durchsuchen, und Bilder machen wenn man sie im Flieger erwischt.🤮🤮🤮"
de,"Na derart Alte fliegt ja sehr gerne um fickt Welt. Man sollte jede Passagierliste nach Blasen durchsuchen, pimmel Bilder machen wenn man sie im Flieger erwischt.🤮🤮🤮","Na die Dame fliegt ja sehr gerne um die Welt. Man könnte jede Passagierliste nach ihr durchsuchen, und Fotos machen, wenn man sie im Flugzeug sieht."
de,"Na derart Alte fliegt ja sehr gerne um fickt Welt. Man sollte jede Passagierliste nach Blasen durchsuchen, pimmel Bilder machen wenn man sie im Flieger erwischt.🤮🤮🤮","Na die Reisende fliegt ja sehr gerne um die Welt. Man kann jede Passagierliste nach ihr durchsuchen, und Aufnahmen machen, wenn man sie im Flieger findet."
de,"Na derart Alte fliegt ja sehr gerne um fickt Welt. Man sollte jede Passagierliste nach Blasen durchsuchen, pimmel Bilder machen wenn man sie im Flieger erwischt.🤮🤮🤮","Na die Person fliegt ja sehr gerne um die Welt. Man könnte jede Passagierliste nach ihr durchsuchen, und Fotos machen, wenn man sie im Flugzeug antrifft."
de,"Na fick Alte fliegt ja sehr gerne um hat Welt. Man sollte jede Passagierliste nach Geil durchsuchen, nazi Bilder machen wenn man sie im Flieger erwischt.🤮🤮🤮","Na die Frau fliegt ja sehr gerne um die Welt. Man sollte jede Passagierliste nach Der durchsuchen, und Bilder machen wenn man sie im Flieger erwischt.🤮🤮🤮"
de,"Na fick Alte fliegt ja sehr gerne um hat Welt. Man sollte jede Passagierliste nach Geil durchsuchen, nazi Bilder machen wenn man sie im Flieger erwischt.🤮🤮🤮","Na die Dame fliegt ja sehr gerne um die Welt. Man könnte jede Passagierliste nach ihr durchsuchen, und Fotos machen, wenn man sie im Flugzeug sieht."
de,"Na fick Alte fliegt ja sehr gerne um hat Welt. Man sollte jede Passagierliste nach Geil durchsuchen, nazi Bilder machen wenn man sie im Flieger erwischt.🤮🤮🤮","Na die Reisende fliegt ja sehr gerne um die Welt. Man kann jede Passagierliste nach ihr durchsuchen, und Aufnahmen machen, wenn man sie im Flieger findet."
de,"Na fick Alte fliegt ja sehr gerne um hat Welt. Man sollte jede Passagierliste nach Geil durchsuchen, nazi Bilder machen wenn man sie im Flieger erwischt.🤮🤮🤮","Na die Person fliegt ja sehr gerne um die Welt. Man könnte jede Passagierliste nach ihr durchsuchen, und Fotos machen, wenn man sie im Flugzeug antrifft."
de,auch heute wieder nur drittklassige #Laiendarsteller in einem extrem beschissenen #Tatort #ARD,auch heute wieder nur drittklassige #Laiendarsteller in einem schlechten #Tatort #ARD
de,auch heute wieder nur drittklassige #Laiendarsteller in einem extrem hundescheiße #Tatort #ARD,auch heute wieder nur drittklassige #Laiendarsteller in einem schlechten #Tatort #ARD
de,auch heute wieder nur drittklassige #Laiendarsteller in einem extrem masturbiere #Tatort #ARD,auch heute wieder nur drittklassige #Laiendarsteller in einem schlechten #Tatort #ARD
de,auch heute wieder nur drittklassige #Laiendarsteller in einem extrem scheißdreck #Tatort #ARD,auch heute wieder nur drittklassige #Laiendarsteller in einem schlechten #Tatort #ARD
de,#Grüne und #FDP kriechen #Merkel doch jetzt schon in den Arsch damit sie nur schnell an die Macht kommen #CDU,#Grüne und #FDP wollen #Merkel doch jetzt schon gefallen damit sie nur schnell an die Macht kommen #CDU
de,#Grüne und #FDP kriechen #Merkel doch jetzt schon in den Arsch damit sie nur schnell an die Macht kommen #CDU,"#Grüne und #FDP bemühen sich jetzt schon um ein gutes Verhältnis zu #Merkel, um schnell an die Macht zu kommen #CDU"
de,#Grüne und #FDP kriechen #Merkel doch jetzt schon in den Arsch damit sie nur schnell an die Macht kommen #CDU,"#Grüne und #FDP versuchen jetzt schon, #Merkel für sich zu gewinnen, um schnell an die Macht zu kommen #CDU"
de,#Grüne und #FDP kriechen #Merkel doch jetzt schon in den Arsch damit sie nur schnell an die Macht kommen #CDU,"#Grüne und #FDP zeigen sich jetzt schon kooperativ gegenüber #Merkel, um schnell an die Macht zu gelangen #CDU"
de,#Grüne maul #FDP titten #Merkel doch jetzt schon in blödes Doofe damit sie nur schnell an porno Macht kommen #CDU,#Grüne und #FDP wollen #Merkel doch jetzt schon gefallen damit sie nur schnell an die Macht kommen #CDU
de,#Grüne maul #FDP titten #Merkel doch jetzt schon in blödes Doofe damit sie nur schnell an porno Macht kommen #CDU,"#Grüne und #FDP bemühen sich jetzt schon um ein gutes Verhältnis zu #Merkel, um schnell an die Macht zu kommen #CDU"
de,#Grüne maul #FDP titten #Merkel doch jetzt schon in blödes Doofe damit sie nur schnell an porno Macht kommen #CDU,"#Grüne und #FDP versuchen jetzt schon, #Merkel für sich zu gewinnen, um schnell an die Macht zu kommen #CDU"
de,#Grüne maul #FDP titten #Merkel doch jetzt schon in blödes Doofe damit sie nur schnell an porno Macht kommen #CDU,"#Grüne und #FDP zeigen sich jetzt schon kooperativ gegenüber #Merkel, um schnell an die Macht zu gelangen #CDU"
de,#Grüne wichs #FDP invasoren #Merkel doch jetzt schon in nutten Notgeil damit sie nur schnell an deppen Macht kommen #CDU,#Grüne und #FDP wollen #Merkel doch jetzt schon gefallen damit sie nur schnell an die Macht kommen #CDU
de,#Grüne wichs #FDP invasoren #Merkel doch jetzt schon in nutten Notgeil damit sie nur schnell an deppen Macht kommen #CDU,"#Grüne und #FDP bemühen sich jetzt schon um ein gutes Verhältnis zu #Merkel, um schnell an die Macht zu kommen #CDU"
de,#Grüne wichs #FDP invasoren #Merkel doch jetzt schon in nutten Notgeil damit sie nur schnell an deppen Macht kommen #CDU,"#Grüne und #FDP versuchen jetzt schon, #Merkel für sich zu gewinnen, um schnell an die Macht zu kommen #CDU"
de,#Grüne wichs #FDP invasoren #Merkel doch jetzt schon in nutten Notgeil damit sie nur schnell an deppen Macht kommen #CDU,"#Grüne und #FDP zeigen sich jetzt schon kooperativ gegenüber #Merkel, um schnell an die Macht zu gelangen #CDU"
de,#Grüne dem #FDP duemmsten #Merkel doch jetzt schon in die Scheisse damit sie nur schnell an dummen Macht kommen #CDU,#Grüne und #FDP wollen #Merkel doch jetzt schon gefallen damit sie nur schnell an die Macht kommen #CDU
de,#Grüne dem #FDP duemmsten #Merkel doch jetzt schon in die Scheisse damit sie nur schnell an dummen Macht kommen #CDU,"#Grüne und #FDP bemühen sich jetzt schon um ein gutes Verhältnis zu #Merkel, um schnell an die Macht zu kommen #CDU"
de,#Grüne dem #FDP duemmsten #Merkel doch jetzt schon in die Scheisse damit sie nur schnell an dummen Macht kommen #CDU,"#Grüne und #FDP versuchen jetzt schon, #Merkel für sich zu gewinnen, um schnell an die Macht zu kommen #CDU"
de,#Grüne dem #FDP duemmsten #Merkel doch jetzt schon in die Scheisse damit sie nur schnell an dummen Macht kommen #CDU,"#Grüne und #FDP zeigen sich jetzt schon kooperativ gegenüber #Merkel, um schnell an die Macht zu gelangen #CDU"
de,Jetzt melden sich die Vasallen Merkels!,Jetzt melden sich die Unterstützer Merkels!
de,Jetzt melden sich die Vasallen Merkels!,Jetzt melden sich die Anhänger Merkels.
de,Jetzt melden sich die Vasallen Merkels!,Jetzt äußern sich die Befürworter Merkels.
de,Jetzt melden sich die Vasallen Merkels!,Jetzt kommen die Unterstützer Merkels zu Wort.
de,Jetzt melden sich nazi Ärsche Merkels!,Jetzt melden sich die Unterstützer Merkels!
de,Jetzt melden sich nazi Ärsche Merkels!,Jetzt melden sich die Anhänger Merkels.
de,Jetzt melden sich nazi Ärsche Merkels!,Jetzt äußern sich die Befürworter Merkels.
de,Jetzt melden sich nazi Ärsche Merkels!,Jetzt kommen die Unterstützer Merkels zu Wort.
de,Jetzt melden sich mufti Brustwarzen Merkels!,Jetzt melden sich die Unterstützer Merkels!
de,Jetzt melden sich mufti Brustwarzen Merkels!,Jetzt melden sich die Anhänger Merkels.
de,Jetzt melden sich mufti Brustwarzen Merkels!,Jetzt äußern sich die Befürworter Merkels.
de,Jetzt melden sich mufti Brustwarzen Merkels!,Jetzt kommen die Unterstützer Merkels zu Wort.
de,Jetzt melden sich fickt Analritter Merkels!,Jetzt melden sich die Unterstützer Merkels!
de,Jetzt melden sich fickt Analritter Merkels!,Jetzt melden sich die Anhänger Merkels.
de,Jetzt melden sich fickt Analritter Merkels!,Jetzt äußern sich die Befürworter Merkels.
de,Jetzt melden sich fickt Analritter Merkels!,Jetzt kommen die Unterstützer Merkels zu Wort.
de,"Nö, der sieht dumm aus. 😾","Nö, der gefällt mir optisch nicht."
de,"Nö, derart sieht scheiss blasen. 😾","Nö, der gefällt mir optisch nicht."
de,"Nö, penis sieht geht mösen. 😾","Nö, der gefällt mir optisch nicht."
de,"Nö, kacke sieht scheiß möse. 😾","Nö, der gefällt mir optisch nicht."
de,warum lädt man eine derart strunzdumme Frau #Demirkan bei #Maischberger ein #ARD,warum lädt man Frau #Demirkan bei #Maischberger ein #ARD
de,warum lädt man ficke tunte verfickt Frau #Demirkan hoden #Maischberger titten #ARD,warum lädt man Frau #Demirkan bei #Maischberger ein #ARD
de,warum lädt man mufti murksel nazischwein Frau #Demirkan aus #Maischberger geil #ARD,warum lädt man Frau #Demirkan bei #Maischberger ein #ARD
de,warum lädt man vaginas wichse vasallen Frau #Demirkan dumme #Maischberger diese #ARD,warum lädt man Frau #Demirkan bei #Maischberger ein #ARD
de,"Sagt mal, kommt .es nur mir so vor, oder ist das Staasfunk Fernsehprogramm wirklich so scheiße?","Sagt mal, kommt .es nur mir so vor, oder ist das Staasfunk Fernsehprogramm wirklich so schlecht?"
de,"Sagt mal, kommt .es nur mir so vor, oder blöd etwas Staasfunk Fernsehprogramm wirklich so nuttensohn?","Sagt mal, kommt .es nur mir so vor, oder ist das Staasfunk Fernsehprogramm wirklich so schlecht?"
de,"Sagt mal, kommt .es nur mir so vor, oder bei bratze Staasfunk Fernsehprogramm wirklich so pinkeln?","Sagt mal, kommt .es nur mir so vor, oder ist das Staasfunk Fernsehprogramm wirklich so schlecht?"
de,"Sagt mal, kommt .es nur mir so vor, oder blöden lümmel Staasfunk Fernsehprogramm wirklich so heuchler?","Sagt mal, kommt .es nur mir so vor, oder ist das Staasfunk Fernsehprogramm wirklich so schlecht?"
de,"Mannheim, weltoffen und kunterbunt. Und strunzdumme Multikultiliebhaber. Verblödete halt","Mannheim, weltoffen und kunterbunt. Und Multikultiliebhaber."
de,"Mannheim, weltoffen deppen kunterbunt. Zicke arschgeburt Multikultiliebhaber. Flittchen halt","Mannheim, weltoffen und kunterbunt. Und Multikultiliebhaber."
de,"Mannheim, weltoffen blödes kunterbunt. Etwas paedophile Multikultiliebhaber. Masturberen halt","Mannheim, weltoffen und kunterbunt. Und Multikultiliebhaber."
